k	num	group	value
29	1M k-mers	unik.default	13.6
29	1M k-mers	unik.compact	13.6
29	1M k-mers	unik.sorted	20.4
29	1M k-mers	unik.default.C	26.7
29	1M k-mers	unik.sorted.C	26.7
31	1M k-mers	unik.compact.C	25.0
31	1M k-mers	gzip	11.9
31	1M k-mers	unik.default	13.2
31	1M k-mers	unik.compact	13.2
31	1M k-mers	unik.sorted	20.4
31	1M k-mers	unik.default.C	25.0
31	1M k-mers	unik.sorted.C	25.0
13	10M k-mers	unik.compact.C	28.6
13	10M k-mers	gzip	24.3
13	10M k-mers	unik.default	30.4
13	10M k-mers	unik.compact	28.4
13	10M k-mers	unik.sorted	3.5
13	10M k-mers	unik.default.C	57.1
13	10M k-mers	unik.sorted.C	10.7
15	10M k-mers	unik.compact.C	25.0
15	10M k-mers	gzip	21.1
15	10M k-mers	unik.default	29.2
15	10M k-mers	unik.compact	24.8
15	10M k-mers	unik.sorted	6.9
15	10M k-mers	unik.default.C	50.0
15	10M k-mers	unik.sorted.C	9.9
17	10M k-mers	unik.compact.C	27.8
17	10M k-mers	gzip	19.0
17	10M k-mers	unik.default	29.0
17	10M k-mers	unik.compact	26.4
17	10M k-mers	unik.sorted	10.8
17	10M k-mers	unik.default.C	44.4
17	10M k-mers	unik.sorted.C	11.7
19	10M k-mers	unik.compact.C	25.0
19	10M k-mers	gzip	17.3
19	10M k-mers	unik.default	26.3
19	10M k-mers	unik.compact	23.9
19	10M k-mers	unik.sorted	12.3
19	10M k-mers	unik.default.C	40.0
19	10M k-mers	unik.sorted.C	12.4
21	10M k-mers	unik.compact.C	27.3
21	10M k-mers	gzip	16.0
21	10M k-mers	unik.default	21.5
21	10M k-mers	unik.compact	19.1
21	10M k-mers	unik.sorted	13.7
21	10M k-mers	unik.default.C	36.4
21	10M k-mers	unik.sorted.C	13.8
23	10M k-mers	unik.compact.C	25.0
23	10M k-mers	gzip	15.0
23	10M k-mers	unik.default	20.9
23	10M k-mers	unik.compact	17.5
23	10M k-mers	unik.sorted	14.2
23	10M k-mers	unik.default.C	33.3
23	10M k-mers	unik.sorted.C	14.2
25	10M k-mers	unik.compact.C	26.9
25	10M k-mers	gzip	13.7
25	10M k-mers	unik.default	17.4
25	10M k-mers	unik.compact	15.5
25	10M k-mers	unik.sorted	15.2
25	10M k-mers	unik.default.C	30.8
25	10M k-mers	unik.sorted.C	15.2
27	10M k-mers	unik.compact.C	25.0
27	10M k-mers	gzip	12.7
27	10M k-mers	unik.default	16.4
27	10M k-mers	unik.compact	14.5
27	10M k-mers	unik.sorted	15.5
27	10M k-mers	unik.default.C	28.6
27	10M k-mers	unik.sorted.C	15.5
29	10M k-mers	unik.compact.C	26.7
29	10M k-mers	gzip	12.0
29	10M k-mers	unik.default	13.5
29	10M k-mers	unik.compact	13.5
29	10M k-mers	unik.sorted	20.5
29	10M k-mers	unik.default.C	26.7
29	10M k-mers	unik.sorted.C	26.7
31	10M k-mers	unik.compact.C	25.0
31	10M k-mers	gzip	11.6
31	10M k-mers	unik.default	13.1
31	10M k-mers	unik.compact	13.1
31	10M k-mers	unik.sorted	22.0
31	10M k-mers	unik.default.C	25.0
31	10M k-mers	unik.sorted.C	25.0
17	100M k-mers	unik.compact.C	27.8
17	100M k-mers	gzip	19.2
17	100M k-mers	unik.default	29.1
17	100M k-mers	unik.compact	26.5
17	100M k-mers	unik.sorted	6.4
17	100M k-mers	unik.default.C	44.4
17	100M k-mers	unik.sorted.C	9.0
19	100M k-mers	unik.compact.C	25.0
19	100M k-mers	gzip	17.5
19	100M k-mers	unik.default	26.2
19	100M k-mers	unik.compact	23.7
19	100M k-mers	unik.sorted	9.9
19	100M k-mers	unik.default.C	40.0
19	100M k-mers	unik.sorted.C	10.7
21	100M k-mers	unik.compact.C	27.3
21	100M k-mers	gzip	16.1
21	100M k-mers	unik.default	21.5
21	100M k-mers	unik.compact	19.7
21	100M k-mers	unik.sorted	11.3
21	100M k-mers	unik.default.C	36.4
21	100M k-mers	unik.sorted.C	11.4
23	100M k-mers	unik.compact.C	25.0
23	100M k-mers	gzip	15.1
